source,target,number
"Abba, ML","Juhl, H",1
"Abba, ML","Koch, F",1
"Abdalah, MA","Court, LE",1
"Abdalah, MA","Gillies, RJ",1
"Abdalah, MA","Goldgof, DG",1
"Abdalah, MA","Mackin, D",1
"Abdalah, MA","Moros, EG",1
"Abdalah, MA","Schabath, MB",1
"Abdollahi, H","Bitarafan-Rajabi, A",1
"Abe, H","Giger, ML",1
"Abe, O","Nakagawa, K",1
"Abramowitz, MC","Davicioni, E",1
"Abramowitz, MC","Erho, N",1
"Abramowitz, MC","Gillies, RJ",1
"Abramowitz, MC","Ishkanian, A",1
"Abrey, L","Aerts, HJWL",1
"Abrey, L","Alexander, BM",1
"Abrey, L","Huang, R",1
"Abrey, L","Reardon, DA",1
"Abrey, L","Schwartz, LH",1
"Abrey, L","Wen, PY",1
"Abrol, S","Colen, RR",2
"Abrol, S","Elakkad, A",1
"Abrol, S","Hassan, I",1
"Abrol, S","Kumar, A",1
"Abrol, S","Mosley, J",1
"Abrol, S","Thomas, G",1
"Acosta, O","de Crevoisier, R",1
"Adduru, VR","Baum, SA",1
"Adduru, VR","Helguera, M",1
"Adduru, VR","Michael, AM",1
"Adduru, VR","Moore, GJ",1
"Aerts, HJ","Lambin, P",11
"Aerts, HJ","Parmar, C",10
"Aerts, HJ","Parmar, C",10
"Aerts, HJ","Lambin, P",9
"Aerts, HJ","Gillies, RJ",3
"Aerts, HJ","van Elmpt, WJ",3
"Aerts, HJ","Velazquez, ER",3
"Aerts, HJ","Velazquez, ER",3
"Aerts, HJ","Boellaard, R",2
"Aerts, HJ","Gillies, RJ",2
"Aerts, HJ","Oxnard, GG",2
"Aerts, HJ","Rizvi, N",2
"Aerts, HJ","Schwartz, LH",2
"Aerts, HJ","Tan, Y",2
"Aerts, HJ","Zhao, B",2
"Aerts, HJ","Chan, B",1
"Aerts, HJ","Dekker, AL",1
"Aerts, HJ","Hoekstra, CJ",1
"Aerts, HJ","Hoekstra, OS",1
"Aerts, HJ","Huang, SH",1
"Aerts, HJ","O'sullivan, B",1
"Aerts, HJ","Waldron, JN",1
"Aerts, HJ","Cavalho, S",1
"Aerts, HJ","Dekker, A",1
"Aerts, HJ","Hoebers, F",1
"Aerts, HJ","Leemans, CR",1
"Aerts, HJ","Monshouwer, R",1
"Aerts, HJWL","El Naqa, I",1
"Aerts, HJWL","Khaouam, N",1
"Aerts, HJWL","Nguyen-Tan, PF",1
"Aerts, HJWL","Seuntjens, J",1
"Aerts, HJWL","Sultanem, K",1
"Aerts, HJWL","Wang, CS",1
"Aghajanian, C","Deasy, J",1
"Aghajanian, C","Hricak, H",1
"Aghajanian, C","Sala, E",1
"Aghajanian, C","Snyder, A",1
"Agrawal, V","Mak, RH",4
"Agrawal, V","Narayan, V",4
"Agrawal, V","Aerts, HJ",3
"Agrawal, V","Hou, Y",3
"Agrawal, V","Huynh, E",3
"Agrawal, V","Franco, I",2
"Agrawal, V","Lee, SW",2
"Agrawal, V","Romano, J",2
"Agrawal, V","Aerts, HJWL",1
"Agrawal, V","Grossmann, P",1
"Agrawal, V","Parmar, C",1
"Ahmadvand, P","Buatti, JM",1
"Ahmadvand, P","Budzevich, MM",1
"Ahmadvand, P","Gillies, RJ",1
"Ahmadvand, P","Goldgof, D",1
"Ahmadvand, P","Grkovski, M",1
"Ahmadvand, P","Hamarneh, G",1
"Ahmadvand, P","Huang, Q",1
"Ahmadvand, P","Kinahan, PE",1
"Ahmadvand, P","Laymon, CM",1
"Ahmadvand, P","Mountz, JM",1
"Ahmadvand, P","Muzi, JP",1
"Ahmadvand, P","Muzi, M",1
"Ahmadvand, P","Nehmeh, S",1
"Ahmadvand, P","Oborski, MJ",1
"Ahmadvand, P","Sunderland, JJ",1
"Ahmadvand, P","Tan, Y",1
"Ahmadvand, P","Zhao, B",1
"Akai, H","Court, L",1
"Akai, H","Kiryu, S",1
"Akai, H","Mackin, D",1
"Akai, H","Moros, E",1
"Akai, H","Ohtomo, K",1
"Albert, A","Delvenne, P",1
"Albert, A","Hustinx, R",1
"Albert, N","Brückmann, H",1
"Albert, N","Ertl-Wagner, B",1
"Albert, N","Reiser, M",1
"Albert, N","Tonn, JC",1
"Alexander, BM","Aerts, HJWL",2
"Alexander, BM","Huang, R",1
"Alexander, BM","Huang, RY",1
"Algohary, A","Ellis, RJ",1
"Algohary, A","Madabhushi, A",1
"Algohary, A","Viswanath, S",1
"Alilou, M","Beig, N",1
"Alilou, M","Gilkeson, RC",1
"Alilou, M","Jacono, F",1
"Alilou, M","Linden, P",1
"Alilou, M","Madabhushi, A",1
"Alilou, M","Orooji, M",1
"Alilou, M","Rajiah, P",1
"Alilou, M","Rakshit, S",1
"Alilou, M","Reddy, N",1
"Alilou, M","Velcheti, V",1
"Alilou, M","Yang, M",1
"Allgayer, H","Abba, ML",1
"Allgayer, H","Juhl, H",1
"Allgayer, H","Koch, F",1
"Allison, JP","Cooper, ZA",1
"Allison, JP","Wargo, JA",1
"Al-Mefty, O","Aerts, HJWL",1
"Al-Mefty, O","Alexander, BM",1
"Al-Mefty, O","Dunn, IF",1
"Al-Mefty, O","Huang, RY",1
"Al-Mefty, O","Santagata, S",1
"Almeida, J","Bremer, E",1
"Almeida, J","DiPrima, T",1
"Almeida, J","Gao, Y",1
"Almeida, J","Kalpathy-Cramer, J",1
"Almeida, J","Kurc, T",1
"Almeida, J","Saltz, M",1
"Almeida, J","Sharma, A",1
"Alperin, N","Yepes, M",1
"Alperin, N","Zeidan, YH",1
