source,target,number
"Abrol, S","Colen, RR",2
"Aerts, HJ","Boellaard, R",2
"Aerts, HJ","Gillies, RJ",2
"Aerts, HJ","Oxnard, GG",2
"Aerts, HJ","Rizvi, N",2
"Aerts, HJ","Schwartz, LH",2
"Aerts, HJ","Tan, Y",2
"Aerts, HJ","Zhao, B",2
"Aerts, HJ","Gillies, RJ",3
"Aerts, HJ","van Elmpt, WJ",3
"Aerts, HJ","Velazquez, ER",3
"Aerts, HJ","Velazquez, ER",3
"Aerts, HJ","Lambin, P",9
"Aerts, HJ","Parmar, C",10
"Aerts, HJ","Parmar, C",10
"Aerts, HJ","Lambin, P",11
"Agrawal, V","Franco, I",2
"Agrawal, V","Lee, SW",2
"Agrawal, V","Romano, J",2
"Agrawal, V","Aerts, HJ",3
"Agrawal, V","Hou, Y",3
"Agrawal, V","Huynh, E",3
"Agrawal, V","Mak, RH",4
"Agrawal, V","Narayan, V",4
"Alexander, BM","Aerts, HJWL",2
"Alva, A","Caoili, EM",2
"Alva, A","Cohan, RH",2
"Alva, A","Paramagul, C",2
"Antunovic, L","Kirienko, M",2
"Antunovic, L","Sollini, M",2
"Antunovic, L","Kirienko, M",2
"Antunovic, L","Sollini, M",2
"Apte, A","Deasy, JO",2
"Apte, A","Lee, NY",2
"Apte, AP","Deasy, JO",2
"Armato, SG","Al-Hallaq, HA",2
"Armato, SG","Castillo, R",2
"Armato, SG","Guerrero, T",2
"Armato, SG","Pham, N",2
"Bakr, S","Echegaray, S",2
"Balagurunathan, Y","Dilling, TJ",2
"Balagurunathan, Y","Garcia, A",2
"Balagurunathan, Y","Gillies, R",2
"Balagurunathan, Y","Goldgof, D",2
"Balagurunathan, Y","Latifi, K",3
"Balagurunathan, Y","Moros, EG",3
"Balagurunathan, Y","Ye, Z",3
"Balagurunathan, Y","Li, Q",4
"Balagurunathan, Y","Stringfield, O",4
"Balagurunathan, Y","Liu, Y",5
"Balagurunathan, Y","Schabath, MB",5
"Balagurunathan, Y","Gillies, RJ",7
"Balter, P","Court, L",2
"Balter, P","Followill, D",2
"Balter, P","Gomez, D",2
"Balter, P","Jones, AK",2
"Balter, P","Mackin, D",2
"Balter, P","Stingo, F",2
"Bendszus, M","Bonekamp, D",2
"Bendszus, M","Maier-Hein, KH",2
"Bendszus, M","Radbruch, A",2
"Boellaard, R","Gillies, RJ",2
"Boellaard, R","Troost, EG",2
"Boellaard, R","Lambin, P",3
"Bogowicz, M","Pruschy, M",2
"Bogowicz, M","Riesterer, O",2
"Bogowicz, M","Stieb, S",2
"Bogowicz, M","Unkelbach, J",2
"Bogowicz, M","Bundschuh, RA",3
"Bogowicz, M","Guckenberger, M",4
"Bogowicz, M","Studer, G",4
"Bogowicz, M","Tanadini-Lang, S",4
"Braman, NM","Dubchuk, C",2
"Braman, NM","Etesami, M",2
"Braman, NM","Gilmore, H",2
"Braman, NM","Madabhushi, A",2
"Braman, NM","Plecha, D",2
"Braman, NM","Prasanna, P",2
"Braman, NM","Tiwari, P",2
"Budzevich, M","Dilling, TJ",2
"Budzevich, M","Latifi, K",2
"Budzevich, M","Moros, EG",2
"Burnside, ES","Conzen, SD",2
"Burnside, ES","Fan, C",2
"Burnside, ES","Ganott, M",2
"Burnside, ES","Hoadley, KA",2
"Burnside, ES","Huang, E",2
"Burnside, ES","Ji, Y",2
"Burnside, ES","Perou, CM",2
"Burnside, ES","Zuley, M",2
"Burnside, ES","Drukker, K",3
"Burnside, ES","Giger, ML",3
"Burnside, ES","Li, H",3
"Burnside, ES","Morris, EA",3
"Burnside, ES","Net, JM",3
"Burnside, ES","Sutton, EJ",3
"Burnside, ES","Whitman, GJ",3
"Bussink, J","Haibe-Kains, B",2
"Bussink, J","Monshouwer, R",2
"Bussink, J","Quackenbush, J",2
"Bussink, J","Rietbergen, MM",2
"Bussink, J","Rietveld, D",2
"Bussink, J","Aerts, HJ",4
"Bussink, J","Lambin, P",5
"Buvat, I","Chargari, C",2
"Buvat, I","Dercle, L",2
"Buvat, I","Deutsch, E",2
"Buvat, I","Escande, A",2
"Buvat, I","Haie-Meder, C",2
"Buvat, I","Limkin, E",2
"Buvat, I","Robert, C",2
"Caoili, EM","Cohan, RH",2
"Caoili, EM","Paramagul, C",2
"Carvalho, S","Boellaard, R",2
"Carvalho, S","Haibe-Kains, B",2
"Carvalho, S","Velazquez, ER",2
"Carvalho, S","Gillies, RJ",3
"Carvalho, S","Parmar, C",3
"Carvalho, S","van Elmpt, WJ",3
"Carvalho, S","Aerts, HJ",5
"Carvalho, S","Lambin, P",6
"Castillo, R","Al-Hallaq, HA",2
"Castillo, R","Guerrero, T",2
"Castillo, R","Pham, N",2
"Centeno, BA","Gillies, R",2
"Centeno, BA","Magliocco, A",2
"Centeno, BA","Merchant, N",2
"Chaddad, A","Toews, M",3
"Chaddad, A","Desrosiers, C",4
"Chan, HP","Alva, A",2
"Chan, HP","Caoili, EM",2
"Chan, HP","Cohan, RH",2
"Chan, HP","Paramagul, C",2
"Chargari, C","Dercle, L",2
"Chargari, C","Deutsch, E",2
"Chargari, C","Escande, A",2
"Chargari, C","Haie-Meder, C",2
"Chargari, C","Limkin, E",2
"Chargari, C","Robert, C",2
"Chen, B","Dong, D",2
"Chen, B","Fang, M",2
"Chen, B","Li, W",2
"Chen, B","Tian, J",2
"Chen, B","Zhang, L",2
"Chen, DT","Centeno, BA",2
"Chen, DT","Coppola, D",2
"Chen, DT","Gillies, R",2
"Chen, DT","Jiang, K",2
"Chen, DT","Kim, J",2
